,Month,Measure,Inflation Index
608,2010-03,Train,86.81
609,2010-03,Transport Services,93.66
610,2010-03,Transport,93.46
611,2010-03,All Items,94.57
612,2010-02,Train,86.81
613,2010-02,Transport Services,94.22
614,2010-02,Transport,92.52
615,2010-02,All Items,94.11
616,2010-01,Train,86.81
617,2010-01,Transport Services,95.34
618,2010-01,Transport,92.66
619,2010-01,All Items,93.59
620,2009-12,Train,85.88
621,2009-12,Transport Services,94.45
622,2009-12,Transport,91.53
623,2009-12,All Items,93.8
624,2009-11,Train,85.75
625,2009-11,Transport Services,92.49
626,2009-11,Transport,91.13
627,2009-11,All Items,93.55
628,2009-10,Train,85.75
629,2009-10,Transport Services,94.0
630,2009-10,Transport,90.79
631,2009-10,All Items,93.42
632,2009-09,Train,85.75
633,2009-09,Transport Services,92.48
634,2009-09,Transport,90.62
635,2009-09,All Items,93.33
636,2009-08,Train,85.75
637,2009-08,Transport Services,96.69
638,2009-08,Transport,91.71
639,2009-08,All Items,93.56
640,2009-07,Train,85.75
641,2009-07,Transport Services,96.45
642,2009-07,Transport,91.25
643,2009-07,All Items,93.08
644,2009-06,Train,84.9
645,2009-06,Transport Services,93.53
646,2009-06,Transport,91.11
647,2009-06,All Items,93.5
648,2009-05,Train,84.9
649,2009-05,Transport Services,94.13
650,2009-05,Transport,89.98
651,2009-05,All Items,93.38
652,2009-04,Train,84.9
653,2009-04,Transport Services,96.08
654,2009-04,Transport,89.89
655,2009-04,All Items,93.24
656,2009-03,Train,84.9
657,2009-03,Transport Services,93.67
658,2009-03,Transport,89.09
659,2009-03,All Items,93.09
660,2009-02,Train,84.9
661,2009-02,Transport Services,95.68
662,2009-02,Transport,89.4
663,2009-02,All Items,92.92
664,2009-01,Train,84.9
665,2009-01,Transport Services,94.35
666,2009-01,Transport,88.85
667,2009-01,All Items,92.57
668,2008-12,Train,83.31
669,2008-12,Transport Services,93.74
670,2008-12,Transport,89.52
671,2008-12,All Items,92.95
672,2008-11,Train,83.31
673,2008-11,Transport Services,92.09
674,2008-11,Transport,90.97
675,2008-11,All Items,93.18
676,2008-10,Train,83.31
677,2008-10,Transport Services,92.76
678,2008-10,Transport,92.8
679,2008-10,All Items,93.62
680,2008-09,Train,83.31
681,2008-09,Transport Services,91.9
682,2008-09,Transport,93.9
683,2008-09,All Items,93.67
684,2008-08,Train,83.11
685,2008-08,Transport Services,95.21
686,2008-08,Transport,94.39
687,2008-08,All Items,93.73
688,2008-07,Train,83.11
689,2008-07,Transport Services,95.91
690,2008-07,Transport,95.57
691,2008-07,All Items,93.76
692,2008-06,Train,82.47
693,2008-06,Transport Services,90.76
694,2008-06,Transport,94.73
695,2008-06,All Items,93.96
696,2008-05,Train,82.47
697,2008-05,Transport Services,90.55
698,2008-05,Transport,93.3
699,2008-05,All Items,93.62
700,2008-04,Train,82.47
701,2008-04,Transport Services,91.18
702,2008-04,Transport,92.3
703,2008-04,All Items,93.12
704,2008-03,Train,82.47
705,2008-03,Transport Services,89.42
706,2008-03,Transport,91.72
707,2008-03,All Items,92.81
708,2008-02,Train,82.47
709,2008-02,Transport Services,89.62
710,2008-02,Transport,90.8
711,2008-02,All Items,92.12
712,2008-01,Train,81.56
713,2008-01,Transport Services,88.57
714,2008-01,Transport,90.63
715,2008-01,All Items,91.92
716,2007-12,Train,81.56
717,2007-12,Transport Services,90.5
718,2007-12,Transport,90.59
719,2007-12,All Items,92.03
720,2007-11,Train,81.56
721,2007-11,Transport Services,88.71
722,2007-11,Transport,89.86
723,2007-11,All Items,91.69
724,2007-10,Train,81.56
725,2007-10,Transport Services,88.82
726,2007-10,Transport,88.47
727,2007-10,All Items,91.19
728,2007-09,Train,81.56
729,2007-09,Transport Services,89.0
730,2007-09,Transport,88.13
731,2007-09,All Items,90.96
732,2007-08,Train,81.56
733,2007-08,Transport Services,91.73
734,2007-08,Transport,88.6
735,2007-08,All Items,90.86
736,2007-07,Train,81.56
737,2007-07,Transport Services,92.33
738,2007-07,Transport,88.79
739,2007-07,All Items,90.49
740,2007-06,Train,80.87
741,2007-06,Transport Services,88.23
742,2007-06,Transport,87.94
743,2007-06,All Items,90.72
744,2007-05,Train,80.65
745,2007-05,Transport Services,88.05
746,2007-05,Transport,87.97
747,2007-05,All Items,90.61
748,2007-04,Train,80.65
749,2007-04,Transport Services,88.86
750,2007-04,Transport,87.44
751,2007-04,All Items,90.39
752,2007-03,Train,80.65
753,2007-03,Transport Services,87.87
754,2007-03,Transport,86.44
755,2007-03,All Items,89.95
756,2007-02,Train,80.65
757,2007-02,Transport Services,88.15
758,2007-02,Transport,85.9
759,2007-02,All Items,89.57
760,2007-01,Train,79.86
761,2007-01,Transport Services,87.64
762,2007-01,Transport,85.5
763,2007-01,All Items,89.4
764,2006-12,Train,79.54
765,2006-12,Transport Services,88.46
766,2006-12,Transport,85.43
767,2006-12,All Items,89.71
768,2006-11,Train,79.54
769,2006-11,Transport Services,87.04
770,2006-11,Transport,85.11
771,2006-11,All Items,89.5
772,2006-10,Train,79.54
773,2006-10,Transport Services,87.66
774,2006-10,Transport,85.12
775,2006-10,All Items,89.4
